Sequence,Author,ID,Title,Period,Pub_date,Genre,Place_Pub,Publisher,Gender,Nationality,Temp1,Temp2,Temp3,Temp_FileName,Filename
66,Anon.-Nelson (pub.),1857_b,The English Lakes,Victorian Era,1859,Guide,London,Thomas  Nelson & Sons,M,No Data,13,19,6,Anon_cqp_66,Anon_cqp_66
53,Edward Baines,1829_a,"A Companion to the Lakes of Cumberland, Westmoreland, etc.",Romantic Era,1829,Guide,London,Simpkin and Marshall,M,English,7,13,6,Baines_cqp_53,Baines_cqp_53
77,Samuel Barber,1892_a,"Beneath Helvellyn's Shade. Notes and Sketches in the Valley of, etc.",Victorian Era,1892,Travelogue,London,E. Stock,M,English,7,13,6,Barber_cqp_77,Barber_cqp_77
64,A. and C. Black (pub.),1853_a,Black's Shilling Guide to the English Lakes,Victorian Era,1853,Guide,Edinburgh,"A, and C. Black",M ,Scottish,3,22,19,and C. Black (pub.)_cqp_64,Black_cqp_64
80,M. J. B. Baddeley,1900_a,Black's Shilling Guide to the English Lakes,Victorian Era,1900,Guide,London,A. and C. Black,M,English,3,17,14,J. B. Baddeley_cqp_80,Black_cqp_80
56,John Bree,1832_a,Saint Herbert's Isle: A Legendary Poem: In Five Cantos,Romantic Era,1832,Poetry,London,Longman and Co.,M,English,5,9,4,Bree_cqp_56,Bree_cqp_56
10,John Brown,1767_a,"Description of the Lake and Vale at Keswick, etc.",Long Eighteenth Century,1767,Epistle,Newcastle-upon-Tyne,J. Ashburner,M,English,5,10,5,Brown_cqp_10,Brown_cqp_10
26,Joseph Budworth,1792_b,"A Fortnight's Ramble to the Lakes in Wesmorland, Cumberland, etc.",Long Eighteenth Century,1792,Travelogue,London,Hookham and Carpenter,M,English,7,15,8,Budworth_cqp_26,Budworth_cqp_26
73,John Burroughs,1884_a,In Wordsworth's Country,Victorian Era,1884,Travelogue,Edinburgh,David Douglas,M,American,5,14,9,Burroughs_cqp_73,Burroughs_cqp_73
52,Nathaniel Hazeltine Carter,1827_b,"Letters from Europe Comprising the Journal of a Tour through, etc.",Romantic Era,1827,Epistle,"New York, USA",G. and C. Carvill,M,American,10,26,16,Hazeltine Carter_cqp_52,Carter_cqp_52
22,James Clarke,1787_a,"A Survey of the Lakes of Cumberland, Westmorland, and Lancashire",Long Eighteenth Century,1787,Survey,London,J. Clarke,M,English,6,12,6,Clarke_cqp_22,Clarke_cqp_22
63,James Freeman Clarke,1852_e,Eleven Weeks in Europe; and What May Be Seen in that Time,Victorian Era,1852,Travelogue,"Boston, USA","Ticknor, Reed, and Fields",M ,American,6,20,14,Freeman Clarke_cqp_63,Clarke_cqp_63
19,William Cockin,1780_a,Ode to the Genius of the Lakes. A Poem,Long Eighteenth Century,1780,Poetry,London,Richardson and Urquhart,M,English,8,14,6,Cockin_cqp_19,Cockin_cqp_19
33,Samuel Taylor Coleridge,1802_a,Circumcision of the Lakes,Romantic Era,1939 and 1957,Epistle and Journal,"Princeton, USA",Princeton University Press,M,English,7,23,16,Taylor Coleridge_cqp_33,Coleridge_cqp_33
75,W. G. Collingwood,1889_a,Coniston Tales,Victorian Era,1889,Prose Fiction,Ulverston,Wm. Holmes,M,English,3,17,14,G. Collingwood_cqp_75,Collingwood_cqp_75
41,William Combe,1812_a,The tour of Doctor Syntax in Search of the Picturesque,Regency and Romantic Era,1812,Poetry,London,R. Ackermann,M,English,8,13,5,Combe_cqp_41,Combe-Rowlandson_cqp_41
51,Charles Cooke,1827_a,"The Tourist's and Traveller's Companion to the Lakes, etc.",Romantic Era,1827,Guide,London,"Sherwood, Jones and Co.",M,English,8,13,5,Cooke_cqp_51,Cooke_cqp_51
16,Richard Cumberland,1776_c,Odes,Long Eighteenth Century,1776,Poetry,London,J. Robson,M,English,8,18,10,Cumberland_cqp_16,Cumberland_cqp_16
8,John Dalton,1755_a,"A Descriptive Poem, Addressed to Two Ladies, etc.",Long Eighteenth Century,1755,Poetry,London,J. J. Rivington,M,English,5,11,6,Dalton_cqp_8,Dalton_cqp_8
4,Daniel Defoe,1724_a,A Tour thro' the Whole Island of Great Britain ,Long Eighteenth Century,1727,Travelogue,London,G. Strahan,M,English,7,12,5,Defoe_cqp_4,Defoe_cqp_4
35,James Denholm,1804_b,A tour to the principal Scotch and English Lakes,Romantic Era,1804,Travelogue,Glasgow,A. Macgoun,M,Scottish,6,13,7,Denholm_cqp_35,Denholm_cqp_35
74,"Anon.-Charles Dickens, Jr., ed.",1884_d,The Climbs of the English Lake District,Victorian Era,1884,Essay,London,Chapman and Hall,M,English,14,31,17,"Dickens, Jr., ed._cqp_74",Dickens_cqp_74
71,William Dickinson,1875_b,Cumbriana: or Fragments of Cumbrian Life,Victorian Era,1875,Miscellany,London,Whittaker and Co.,M,English,8,17,9,Dickinson_cqp_71,Dickinson_cqp_71
1,Michael Drayton,1612_a,"Poly-Olbion; or, A chorographicall description of all the tracts, rivers, etc.",Early-Modern Era,1622,Poetry,London,A. Mathews,M,English,8,15,7,Drayton_cqp_1,Drayton_cqp_1
3,Celia Fiennes,1698_a,Through England on a Side-Saddle,Long Eighteenth Century,1888,Travelogue,London,Field and Tuer,F,English,6,13,7,Fiennes_cqp_3,Fiennes_cqp_3
72,Henry Frith,1881_a,Wanderings in Wordsworthshire,Victorian Era,1881,Essay,London,W. Poole,M,Irish,6,11,5,Frith_cqp_72,Frith_cqp_72
62,Anon.-John Garnett (pub.),1852_b,Keswick and its Neighbourhood: A Hand-book for the Use of Visitors,Victorian Era,1852,Guide,Windermere ,J. Garnett,M,English,11,25,14,Garnett (pub.)_cqp_62,Garnett_cqp_62
29,William Gell ,1968_a,"A Tour in the Lakes, 1797",Long Eighteenth Century,1968,Travelogue,Newcastle-upon-Tyne,Frank Graham,M,English,8,13,5,Gell _cqp_29,Gell_cqp_29
61,Alexander Craig Gibson,1849_a,The Old Man; or Ravings and Ramblings round Conistone,Victorian Era,1849,Guide,London,Whittaker and Co.,M,English,10,22,12,Craig Gibson_cqp_61,Gibson_cqp_61
21,William Gilpin,1786_a,"Observations, Relative Chiefly to Picturesque Beauty, etc.",Long Eighteenth Century,1786,Travelogue,London,R. Blamire,M,English,8,14,6,Gilpin_cqp_21,Gilpin_cqp_21
13,Thomas Gray,1775_a,Journal of A Visit to the Lake District in 1769,Long Eighteenth Century,1775,Epistle,London,J. Dodsley,M,English,7,11,4,Gray_cqp_13,Gray_cqp_13
70,Nathaniel Hawthorne,1870_a,English Notebooks,Victorian Era,1871 and 1941,Journal,"Boston, USA",J. R. Osgood and Co.,M,American,10,19,9,Hawthorne_cqp_70,Hawthorne_cqp_70
30,Richard Colt Hoare,1983_b,The journeys of Sir Richard Colt Hoare through Wales and England,Long Eighteenth Century,1983,Journal,Gloucester,A. Sutton,M,English,8,18,10,Colt Hoare_cqp_30,Hoare_cqp_30
32,John Housman,1800_c,"A Topographical Description of Cumberland, Westmoreland, etc.",Romantic Era,1800,Guide,Carlisle,F. Jollie,M,English,5,12,7,Housman_cqp_32,Housman_cqp_32
14,William Hutchinson,1776_a,An Excursion to the Lakes in Westmorland and Cumberland,Long Eighteenth Century,1776,Travelogue,London,J. Wilkie,M,English,8,18,10,Hutchinson_cqp_14,Hutchinson_cqp_14
46,Catherine Hutton,1819_c,"Oakwood Hall, a novel, including a description of the Lakes, etc.",Regency and Romantic Era,1819,Novel,London,Longman and Co.,F,English,10,16,6,Hutton_cqp_46,Hutton_cqp_46
44,John Keats,1818_a,Letters to Tom and George Keats,Regency and Romantic Era,1883,Epistle,"New York, USA","Dodd, Mead, and Company",M,English,5,10,5,Keats_cqp_44,Keats_cqp_44
54,Samuel Leigh (pub.),1830_a,"Leigh's Guide to the Lakes and Mountains of Cumberland, etc.",Romantic Era,1830,Guide,London  ,Samuel Leigh,M,English,7,19,12,Leigh (pub.)_cqp_54,Leigh_cqp_54
2,Lt. Hammond,1904_a,A Short Survey of 26 Counties,Early-Modern Era,1904,Journal,London,F. E. Robinson and Co.,M,English,4,11,7,Hammond_cqp_2,Lt.Hammond._cqp_2
60,Charles Mackay,1846_a,The Scenery and Poetry of the English Lakes. A Summer Ramble.,Victorian Era,1846,Guide,London,Longman and Co.,M,Scottish,8,14,6,Mackay_cqp_60,Mackay_cqp_60
76,Frederick Amadeus Malleson,1890_a,"Holiday Studies of Wordsworth by Rivers, Woods and Alps",Victorian Era,1890,Travelogue,London,Cassell and Co.,M,English,10,26,16,Amadeus Malleson_cqp_76,Malleson_cqp_76
65,Harriet Martineau,1855_a,A Complete Guide to the English Lakes,Victorian Era,1855,Guide,Windermere ,J. Garnett,F,English,8,17,9,Martineau_cqp_65,Martineau_cqp_65
68,Harriet Martineau,1861_c,The Lights of the English Lakes,Victorian Era,1861,Essay,"Boston, USA",Ticknor & Fields,F,English,8,17,9,Martineau_cqp_68,Martineau_cqp_68
39,Joseph Mawman,1805_b,An Excursion to the Highlands of Scotland and the English Lakes,Romantic Era,1805,Travelogue,London,J. Mawman ,M,Englsih,7,13,6,Mawman_cqp_39,Mawman_cqp_39
23,Thomas Newte,1788_a,"A Tour in England and Scotland, in 1785",Long Eighteenth Century,1788,Travelogue,London,G. G .J. and J. Robinson,M,Scottish,7,12,5,Newte_cqp_23,Newte_cqp_23
34,Anon.-T. Ostell (pub.),1804_a,"Observations, Chiefly Lithological, Made in a Five Weeks' Tour",Romantic Era,1804,Travelogue,London,T. Ostell,M,English,9,22,13,Ostell (pub.)_cqp_34,Ostell_cqp_34
49,Jonathan Otley,1823_a,"A Concise Description of the English Lakes, the Mountains in their, etc.",Romantic Era,1823,Guide,Keswick,J. Otley,M,English,9,14,5,Otley_cqp_49,Otley__cqp_49
12,Thomas Pennant,1771_a,A Tour in Scotland. MDCCLXIX,Long Eighteenth Century,1771,Travelogue,Chester,John Monk,M,Welsh,7,14,7,Pennant_cqp_12,Pennant_cqp_12
15,Thomas Pennant,1776_b,"A Tour in Scotland, and Voyage to the Hebrides; MDCCLXXII",Long Eighteenth Century,1774,Travelogue,Chester,John Monk,M,Welsh,7,14,7,Pennant_cqp_15,Pennant_cqp_15
38,Anon.-Richard Phillips (pub.),1805_a,"Gleanings of a Wanderer, in Various Parts of England, Scotland, etc.",Romantic Era,1805,Travelogue,London,Richard Phillips,M,English,14,29,15,Phillips (pub.)_cqp_38,Phillips_cqp_38
31,James Plumptre,1798_f,The Lakers: A Comic Opera in Three Acts,Romantic Era,1798,Drama,London,W. Clarke,M,English,6,14,8,Plumptre_cqp_31,Plumtre__cqp_31
28,Ann Radcliffe (née Ward),1795_b,"A Journey Made in the Summer of 1794, etc.",Long Eighteenth Century,1795,Travelogue,London,G. G. and J. Robinson,F,English,4,25,21,Radcliffe (née Ward)_cqp_28,Radcliffe_cqp_28
78,Herbert Rix,1893_a,Down the Duddon with Wordsworth,Victorian Era,1893,Travelogue,London,Bouverie,M,English,8,11,3,Rix_cqp_78,Rix_cqp_78
45,John Robinson,1819_b,"A Guide to the Lakes, in Cumberland, Westmorland, and Lancashire",Regency and Romantic Era,1819,Guide,London,Lackington and Co.,M,English,5,13,8,Robinson_cqp_45,Robinson_cqp_45
57,John Robinson,1833_a,"Views of the Lakes in the North of England, from Original Paintings, etc.",Romantic Era,1833-1834,Painting,London,Whittaker and Co.,M,English,5,13,8,Robinson_cqp_57,Robinson_cqp_57
55,John Ruskin,1969_a,"The Iteriad; or, Three Weeks Among the Lakes",Romantic Era,1969,Poetry,Newcastle-upon-Tyne,Frank Graham,M,English,5,11,6,Ruskin_cqp_55,Ruskin_cqp_55
42,Duke of Rutland [John Henry Manners],1813_a,Journal of a Tour to the Northern Parts of Great Britain (1796),Regency and Romantic Era,1813,Journal,London,J. Triphook,M,English,5,36,31,of Rutland [John Henry Manners]_cqp_42,Rutland_cqp_42
24,Stebbing Shaw,1788_b,"A Tour in 1787, from London to the Western Highlands of Scotland",Long Eighteenth Century,1788,Travelogue,London,L. Davis,M,English,9,13,4,Shaw_cqp_24,Shaw_cqp_24
27,Henry Skrine,1795_a,"Three Successive Tours in the North of England, etc.",Long Eighteenth Century,1795,Travelogue,London,W. Bulmer and Co.,M,English,6,12,6,Skrine_cqp_27,Skrine_cqp_27
5,George Smith,1735_a,A Journey up to Cross-Fell Mountain,Long Eighteenth Century,1747-1748,Essay,London,E. Cave,M,Scottish,7,12,5,Smith_cqp_5,Smith_cqp_5
6,George Smith,1735_b,A Journey to Caudbec Fells,Long Eighteenth Century,1747-1748,Essay,London,E. Cave,M,Scottish,7,12,5,Smith_cqp_6,Smith_cqp_6
7,George Smith,1735_c,An Account of a Survey of the Northwest Coast of England,Long Eighteenth Century,1747-1748,Essay,London,E. Cave,M,Scottish,7,12,5,Smith_cqp_7,Smith_cqp_7
40,Robert Southey,1807_a,"Letters from England, by Don Manuel Alvarez Espriella",Romantic Era,1807,Epistle,London,"Longman, Hurst, Rees and Orme",M,English,7,14,7,Southey_cqp_40,Southey_cqp_40
43,Samuel Heinrich Spiker,1816_b,"Travels through England, Wales & Scotland in the Year 1816",Regency and Romantic Era,1816,Travelogue,London,Lackington and Co.,M,German,7,22,15,Heinrich Spiker_cqp_43,Spiker_cqp_43
20,Richard Joseph Sullivan ,1780_b,"Observations Made During a Tour through Parts of England, etc.",Long Eighteenth Century,1780,Travelogue,London,T. Becket,M,Irish,8,24,16,Joseph Sullivan _cqp_20,Sullivan_cqp_20
59,James Thorne,1844_b,Rambles by Rivers,Victorian Era,1844,Travelogue,London,Charles Knight and Co.,M,English,6,12,6,Thorne_cqp_59,Thorne_cqp_59
36,Thomas Thornton,1804_c,"A Sporting Tour through the Northern Parts of England, etc.",Romantic Era,1804,Travelogue,London,Vernor and Hood,M,English,7,15,8,Thornton_cqp_36,Thornton_cqp_36
37,Priscilla Wakefield,1804_d,A Family Tour through the British Empire,Romantic Era,1804,Fiction,London,Darton and Harvey,F,English,10,19,9,Wakefield_cqp_37,Wakefield_cqp_37
25,Adam Walker,1792_a,"Remarks Made in A Tour from London to the Lakes, etc.",Long Eighteenth Century,1792,Epistle,London,G. Nicol and C. Dilly,M,English,5,11,6,Walker_cqp_25,Walker_cqp_25
67,Edwin Waugh,1860_a,Over Sands to the Lakes,Victorian Era,1860,Guide,Manchester,A. Ireland and Co.,M,English,6,11,5,Waugh_cqp_67,Waugh_cqp_67
69,Edwin Waugh,1861_b,Rambles in the Lake Country and its Borders,Victorian Era,1861,Guide,Manchester,John Heywood,M,English,6,11,5,Waugh_cqp_69,Waugh_cqp_69
9,John Wesley,1759_a,An Extract of the Rev. Mr. John Wesley's Journal,Long Eighteenth Century,1764,Journal,Bristol,William Pine,M,English,5,11,6,Wesley_cqp_9,Wesley_cqp_9
17,Thomas West,1778_a,"A Guide to the Lakes: Dedicated to the Lovers of Landscape Studies, etc.",Long Eighteenth Century,1778,Guide,London,Richardson and Urquhart,M,Scottish,7,11,4,West_cqp_17,West_cqp_17
18,William Wilberforce,1983_a,Journey to the Lake District from Cambridge,Long Eighteenth Century,1983,Journal,Stocksfield,Oriel Press,M,English,8,19,11,Wilberforce_cqp_18,Wilberforce_cqp_18
50,Thomas Wilkinson,1824_a,"Tours to the British Mountains, with the Descriptive Poems of Lowther",Romantic Era,1824,Travelogue,London,Taylor and Hessey,M,English,7,16,9,Wilkinson_cqp_50,Wilkinson_cqp_50
