text,label,conceptual_level,note
a mine,GEONOUN,locale,geonouns; case_insensitive; curated
a mines,GEONOUN,locale,geonouns; case_insensitive; generated inflection
abandoned airfield,GEONOUN,locale,geonouns; case_insensitive; curated
abandoned airfields,GEONOUN,locale,geonouns; case_insensitive; generated inflection
abandoned camp,GEONOUN,locale,geonouns; case_insensitive; curated
abandoned camps,GEONOUN,locale,geonouns; case_insensitive; generated inflection
abandoned canal,GEONOUN,locale,geonouns; case_insensitive; curated
abandoned canals,GEONOUN,locale,geonouns; case_insensitive; generated inflection
abandoned factories,GEONOUN,locale,geonouns; case_insensitive; generated inflection
abandoned factory,GEONOUN,locale,geonouns; case_insensitive; curated
abandoned farm,GEONOUN,locale,geonouns; case_insensitive; curated
abandoned farms,GEONOUN,locale,geonouns; case_insensitive; generated inflection
abandoned mine,GEONOUN,locale,geonouns; case_insensitive; curated
abandoned mines,GEONOUN,locale,geonouns; case_insensitive; generated inflection
abandoned mission,GEONOUN,locale,geonouns; case_insensitive; curated
abandoned missions,GEONOUN,locale,geonouns; case_insensitive; generated inflection
abandoned oil well,GEONOUN,locale,geonouns; case_insensitive; curated
abandoned oil wells,GEONOUN,locale,geonouns; case_insensitive; generated inflection
abandoned police post,GEONOUN,locale,geonouns; case_insensitive; curated
abandoned police posts,GEONOUN,locale,geonouns; case_insensitive; generated inflection
abandoned populated place,GEONOUN,locale,geonouns; case_insensitive; curated
abandoned populated places,GEONOUN,locale,geonouns; case_insensitive; generated inflection
abandoned prison,GEONOUN,locale,geonouns; case_insensitive; curated
abandoned prisons,GEONOUN,locale,geonouns; case_insensitive; generated inflection
abandoned railroad,GEONOUN,locale,geonouns; case_insensitive; curated
abandoned railroad station,GEONOUN,locale,geonouns; case_insensitive; curated
abandoned railroad stations,GEONOUN,locale,geonouns; case_insensitive; generated inflection
abandoned railroad stop,GEONOUN,locale,geonouns; case_insensitive; curated
abandoned railroad stops,GEONOUN,locale,geonouns; case_insensitive; generated inflection
abandoned railroads,GEONOUN,locale,geonouns; case_insensitive; generated inflection
abandoned watercourse,GEONOUN,locale,geonouns; case_insensitive; curated
abandoned watercourses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
abandoned well,GEONOUN,locale,geonouns; case_insensitive; curated
abandoned wells,GEONOUN,locale,geonouns; case_insensitive; generated inflection
abattoir,GEONOUN,locale,geonouns; case_insensitive; curated
abattoirs,GEONOUN,locale,geonouns; case_insensitive; generated inflection
abbey,GEONOUN,locale,geonouns; case_insensitive; curated
abbeys,GEONOUN,locale,geonouns; case_insensitive; generated inflection
abode,GEONOUN,locale,geonouns; case_insensitive; curated
abodes,GEONOUN,locale,geonouns; case_insensitive; generated inflection
abyssal zone,GEONOUN,locale,geonouns; case_insensitive; curated
abyssal zones,GEONOUN,locale,geonouns; case_insensitive; generated inflection
acclivities,GEONOUN,locale,geonouns; case_insensitive; generated inflection
acclivity,GEONOUN,locale,geonouns; case_insensitive; curated
administrative division,GEONOUN,locale,geonouns; case_insensitive; curated
administrative divisions,GEONOUN,locale,geonouns; case_insensitive; generated inflection
administrative facilities,GEONOUN,locale,geonouns; case_insensitive; generated inflection
administrative facility,GEONOUN,locale,geonouns; case_insensitive; curated
